old_url,native_url,match_via,nid,source_file,status,notes
/node/1560,/pennsylvania-gazette-unrest-continues-28-september-1796/,node,1560,sources/pennsylvania-gazette-unrest-continues-28-september-1796.md,matched,
/node/1561,/pennsylvania-gazette-us-vigilance-13-december-1797/,node,1561,sources/pennsylvania-gazette-us-vigilance-13-december-1797.md,matched,
/node/1562,/napoleon-ambitious-young-general-1796-97/,node,1562,sources/napoleon-ambitious-young-general-1796-97.md,matched,
/node/1563,/napoleons-own-account-his-coup-detat-10-november-1799/,node,1563,sources/napoleons-own-account-his-coup-detat-10-november-1799.md,matched,
/node/1564,/napoleons-personal-feelings-about-religion/,node,1564,sources/napoleons-personal-feelings-about-religion.md,matched,
/node/1565,/oath-consul-life-4-august-1802/,node,1565,sources/oath-consul-life-4-august-1802.md,matched,
/node/1566,/napoleons-reasons-making-himself-emperor-december-1804/,node,1566,sources/napoleons-reasons-making-himself-emperor-december-1804.md,matched,
/node/1567,/french-civil-code-1804/,node,1567,sources/french-civil-code-1804.md,matched,
/node/1568,/winning-over-nobles/,node,1568,sources/winning-over-nobles.md,matched,
/node/1569,/glitter-imperial-court/,node,1569,sources/glitter-imperial-court.md,matched,
/node/157,/world-war-ii-american-soldiers-and-bengali-child/,node,157,sources/world-war-ii-american-soldiers-and-bengali-child.md,matched,
/node/1570,/problems-governing-egypt/,node,1570,sources/problems-governing-egypt.md,matched,
/node/1571,/egyptian-misery-shatters-french-hopes/,node,1571,sources/egyptian-misery-shatters-french-hopes.md,matched,
/node/1572,/ordinary-soldiers-account-1806/,node,1572,sources/ordinary-soldiers-account-1806.md,matched,
/node/1573,/confederation-rhine-and-dissolution-holy-roman-empire-1-august-1806/,node,1573,sources/confederation-rhine-and-dissolution-holy-roman-empire-1-august-1806.md,matched,
/node/1574,/continental-system-1806/,node,1574,sources/continental-system-1806.md,matched,
/node/1575,/prussian-reform-edict-9-october-1807/,node,1575,sources/prussian-reform-edict-9-october-1807.md,matched,
/node/1576,/ordinary-british-soldier-recounts-portuguese-campaign-1810/,node,1576,sources/ordinary-british-soldier-recounts-portuguese-campaign-1810.md,matched,
/node/1577,/another-firsthand-view-fighting-portugal/,node,1577,sources/another-firsthand-view-fighting-portugal.md,matched,
/node/1578,/burning-moscow-seen-one-napoleons-generals/,node,1578,sources/burning-moscow-seen-one-napoleons-generals.md,matched,
/node/1579,/effect-russian-winter-described-general/,node,1579,sources/effect-russian-winter-described-general.md,matched,
/node/158,/cremation-rites-youngest-son-calcutta-1944/,node,158,sources/cremation-rites-youngest-son-calcutta-1944.md,matched,
/node/1580,/russian-campaign-seen-ordinary-soldier/,node,1580,sources/russian-campaign-seen-ordinary-soldier.md,matched,
/node/1581,/russian-campaign-seen-female-russian-soldier/,node,1581,sources/russian-campaign-seen-female-russian-soldier.md,matched,
